model,code,crm,docs,integrate,marketing,reason,final 🏆,Cost,Speed
GPT-4o v1/2024-05-13 ☁️,90.0,95.0,100.0,90.0,82.0,75.0,89.0,1.21 €,1.50 rps
GPT-4 Turbo v5/2024-04-09 ☁️,86.0,99.0,98.0,93.0,88.0,45.0,85.0,2.45 €,0.84 rps
Google Gemini Pro 1.5 0801 ☁️,84.0,92.0,90.0,100.0,70.0,72.0,85.0,1.48 €,0.83 rps
GPT-4o v3/dyn-2024-08-13 ☁️,90.0,97.0,100.0,67.0,79.0,73.0,84.0,0.64 €,1.21 rps
GPT-4o v2/2024-08-06 ☁️,86.0,89.0,97.0,82.0,82.0,56.0,82.0,0.63 €,1.30 rps
GPT-4 v1/0314 ☁️,90.0,88.0,98.0,52.0,88.0,50.0,78.0,7.04 €,1.31 rps
Claude 3.5 Sonnet ☁️,72.0,83.0,91.0,78.0,80.0,59.0,77.0,0.94 €,0.09 rps
GPT-4 v2/0613 ☁️,90.0,83.0,95.0,52.0,88.0,50.0,76.0,7.04 €,2.16 rps
GPT-4 Turbo v4/0125-preview ☁️,66.0,97.0,100.0,71.0,75.0,45.0,76.0,2.45 €,0.84 rps
GPT-4o Mini ☁️,63.0,87.0,82.0,52.0,100.0,67.0,75.0,0.04 €,1.46 rps
Meta Llama3.1 405B Instruct🦙,81.0,93.0,95.0,55.0,75.0,46.0,74.0,2.39 €,1.16 rps
Claude 3 Opus ☁️,69.0,88.0,100.0,53.0,76.0,59.0,74.0,4.69 €,0.41 rps
Mistral Large 123B v2/2407 ☁️,68.0,79.0,73.0,75.0,75.0,71.0,74.0,0.86 €,1.02 rps
GPT-4 Turbo v3/1106-preview ☁️,66.0,75.0,98.0,52.0,88.0,62.0,73.0,2.46 €,0.68 rps
Google Gemini Pro 1.5 0514 ☁️,73.0,96.0,84.0,100.0,25.0,62.0,73.0,2.01 €,0.92 rps
Meta Llama 3.1 70B Instruct f16🦙,74.0,89.0,90.0,55.0,75.0,46.0,72.0,1.79 €,0.90 rps
Google Gemini Pro 1.5 0409 ☁️,68.0,97.0,96.0,63.0,75.0,28.0,71.0,1.84 €,0.59 rps
GPT-3.5 v2/0613 ☁️,68.0,81.0,73.0,75.0,81.0,48.0,71.0,0.34 €,1.46 rps
